prospect_id,listing_id,listing_url,make,model,year,maintenance_signal,tracking_url,message_variant,sent_at,notes
MP001,m2436885940,https://www.marktplaats.nl/v/motoren/motoren-yamaha/m2436885940-yamaha-mt-07-2015-abs-akrapovic,Yamaha,MT-07,2015,A,https://app.garagebook.nl/start?utm_source=marktplaats&utm_medium=outreach&utm_campaign=marktplaats2026&campaign_slug=marktplaats2026&source=marktplaats&prospect_id=MP001,A,,Recent kleine beurt bij 34660 km; factuur en verdere onderhoudshistorie aanwezig.
MP002,m2417836975,https://www.marktplaats.nl/v/motoren/motoren-yamaha/m2417836975-yamaha-mt-07-35kw,Yamaha,MT-07,2021,B,https://app.garagebook.nl/start?utm_source=marktplaats&utm_medium=outreach&utm_campaign=marktplaats2026&campaign_slug=marktplaats2026&source=marktplaats&prospect_id=MP002,B,,Jaarlijks onderhoud genoemd; A2/35kW.
MP003,m2432360426,https://www.marktplaats.nl/v/motoren/motoren-yamaha/m2432360426-yamaha-mt-07-2022-met-veel-opties,Yamaha,MT-07,2022,A,https://app.garagebook.nl/start?utm_source=marktplaats&utm_medium=outreach&utm_campaign=marktplaats2026&campaign_slug=marktplaats2026&source=marktplaats&prospect_id=MP003,A,,Dealeronderhouden; onderhoudsboekje/manual aanwezig; nieuwe banden en olie.
MP004,m2422422931,https://www.marktplaats.nl/v/motoren/motoren-yamaha/m2422422931-moet-weg-yahama-mt-07,Yamaha,MT-07,,C,https://app.garagebook.nl/start?utm_source=marktplaats&utm_medium=outreach&utm_campaign=marktplaats2026&campaign_slug=marktplaats2026&source=marktplaats&prospect_id=MP004,C,,Particuliere MT-07 met Mivv uitlaat; geen onderhoudsinformatie zichtbaar.
MP005,m2436840876,https://www.marktplaats.nl/v/motoren/motoren-yamaha/m2436840876-yamaha-mt-07-met-mivv-uitlaat-en-diverse-extra-s,Yamaha,MT-07,2016,B,https://app.garagebook.nl/start?utm_source=marktplaats&utm_medium=outreach&utm_campaign=marktplaats2026&campaign_slug=marktplaats2026&source=marktplaats&prospect_id=MP005,B,,Recent motorolie en oliefilter vervangen; vraagprijs staat als bieden.
MP006,m2398088982,https://www.marktplaats.nl/v/motoren/motoren-yamaha/m2398088982-yamaha-mt-07-abs,Yamaha,MT-07,2017,B,https://app.garagebook.nl/start?utm_source=marktplaats&utm_medium=outreach&utm_campaign=marktplaats2026&campaign_slug=marktplaats2026&source=marktplaats&prospect_id=MP006,B,,Grote beurt vorige zomer; altijd goed onderhouden genoemd.
MP007,m2434149178,https://www.marktplaats.nl/v/motoren/motoren-bmw/m2434149178-bmw-r-1200-gs-2014-slechts-29-500-km-incl-lone-rider,BMW,R 1200 GS,2014,B,https://app.garagebook.nl/start?utm_source=marktplaats&utm_medium=outreach&utm_campaign=marktplaats2026&campaign_slug=marktplaats2026&source=marktplaats&prospect_id=MP007,B,,"Banden, remmen en cardan in goede staat; jaarlijkse beurt 2026 nog nodig."
MP008,m2435634181,https://www.marktplaats.nl/v/motoren/motoren-bmw/m2435634181-bmw-r-1200-gs-adventure-verkoop-ivm-emigratie,BMW,R 1200 GS Adventure,2010,B,https://app.garagebook.nl/start?utm_source=marktplaats&utm_medium=outreach&utm_campaign=marktplaats2026&campaign_slug=marktplaats2026&source=marktplaats&prospect_id=MP008,B,,Jaarlijkse onderhoudsbeurt genoemd; banden vorig jaar vervangen.
MP009,m2437174350,https://www.marktplaats.nl/v/motoren/motoren-bmw/m2437174350-bmw-r-1200-gs-adventure-2017-topstaat,BMW,R 1200 GS Adventure,2017,B,https://app.garagebook.nl/start?utm_source=marktplaats&utm_medium=outreach&utm_campaign=marktplaats2026&campaign_slug=marktplaats2026&source=marktplaats&prospect_id=MP009,B,,Tweede eigenaar sinds 2019; banden bijna nieuw; kofferset.
MP010,m2426714173,https://www.marktplaats.nl/v/motoren/motoren-bmw/m2426714173-bmw-r-1200-gs-adventure-gsa-esa-topstaat-verbeterde-abs,BMW,R 1200 GS Adventure,2011,A,https://app.garagebook.nl/start?utm_source=marktplaats&utm_medium=outreach&utm_campaign=marktplaats2026&campaign_slug=marktplaats2026&source=marktplaats&prospect_id=MP010,A,,Uitgebreide dealeronderhoudslijst; volledige beurt bij 58700/59000 km.
