name,website,category,region,contact_name,email,priority,warmth,score,status,notes,partner_slug
KNMV,https://knmv.nl,Motorclub,Landelijk,,serviceteam@knmv.nl,A,Warm,9,new,"Waarom interessant: Grote landelijke motororganisatie met directe relevantie voor onderhoudsbewuste motorrijders. Benaderstrategie: Benader via ledenvoordeel of content rond digitaal onderhoudsbeheer voor leden. Opmerkingen: Site toont contactmail, nieuwsbriefsignaal, events en Facebook/Instagram.",knmv
Motorrijdersactiegroep MAG,https://www.motorrijdersactiegroep.nl,Motorclub,Landelijk,,clubs@motorrijdersactiegroep.nl,A,Warm,9,new,"Waarom interessant: MAG bereikt motorrijders die actief betrokken zijn bij veilig en betaalbaar motorrijden. Benaderstrategie: Benader als ledenvoordeel met nadruk op onderhoud, veiligheid en documentatie. Opmerkingen: Site toont MAGazine, nieuwsbrief, agenda/events en publieke contactadressen.",motorrijdersactiegroep-mag
LOOT - Landelijk Overleg Orgaan Toerclubs,https://loot.nl,Motorclub,Landelijk,,pr@loot.nl,A,Warm,9,new,"Waarom interessant: Koepel voor toerclubs kan GarageBook onder meerdere aangesloten clubs introduceren. Benaderstrategie: Benader als koepelpartner met een standaard clubpakket en voorbeeldnieuwsbrief. Opmerkingen: Site toont PR-/clubprofielenadressen, ledenomgeving, events en Facebook.",loot-landelijk-overleg-orgaan-toerclubs
BMW Club Nederland,https://www.bmwclubnederland.nl,Motorclub,Landelijk,,,A,Lauw,8,new,"Waarom interessant: BMW-rijders hebben vaak lange eigenduur en baat bij complete onderhoudshistorie. Benaderstrategie: Benader via bestuur of clubcommunicatie met focus op waardebehoud en onderhoudsdocumentatie. Opmerkingen: Site en Facebook aanwezig; publiek e-mailadres niet betrouwbaar gevonden.",bmw-club-nederland
Ducati Club Nederland,https://www.ducaticlub.nl,Motorclub,Landelijk,,communicatie@ducaticlub.nl,A,Warm,9,new,"Waarom interessant: Ducati Club Nederland organiseert ritten en events waarbij onderhoudshistorie en documentatie relevant zijn. Benaderstrategie: Benader met een Italiaans merkclub-voorstel rond onderhoudslog en documentendossier. Opmerkingen: Site toont nieuwsbriefinschrijving, evenementen en publieke communicatie-/evenementenadressen.",ducati-club-nederland
Moto Guzzi Club Nederland,https://www.mgcnonline.nl,Motorclub,Landelijk,,,A,Lauw,8,new,"Waarom interessant: Moto Guzzi-rijders hebben vaak oudere of karaktervolle motoren waarbij historie belangrijk is. Benaderstrategie: Benader met classic- en waardebehoudpropositie voor digitaal onderhoudsdossier. Opmerkingen: Site gecontroleerd; events en clubblad/redactie-signalen gevonden, primair publiek contactadres niet betrouwbaar gekozen.",moto-guzzi-club-nederland
Gold Wing Club Holland,https://www.goldwingclubholland.nl,Motorclub,Landelijk,,,A,Lauw,8,new,"Waarom interessant: Gold Wing-rijders gebruiken toergerichte motoren waarbij onderhoud, ritten en documenten samenkomen. Benaderstrategie: Benader met nadruk op toerhistorie, onderhoud en overdraagbare documentatie. Opmerkingen: Site toont bestuur/contact, events, magazine-/blad-signaal en Facebook.",gold-wing-club-holland
VFROC,https://www.vfroc.nl,Motorclub,Landelijk,,pr@vfroc.nl,B,Warm,8,new,"Waarom interessant: VFR-rijders vormen een modelgerichte community met belang bij onderhoudshistorie. Benaderstrategie: Benader als modelclub met eenvoudige ledenactie voor eerste voertuigregistratie. Opmerkingen: Site toont publieke bestuurs-, PR- en toercommissieadressen.",vfroc
Transalp Club Nederland,https://transalpclub.nl,Motorclub,Landelijk,,pr@transalpclub.nl,B,Warm,8,new,"Waarom interessant: Adventure- en toerrijders hebben veel onderhouds- en reisdocumentatie om bij te houden. Benaderstrategie: Benader met seizoensstart- en reisvoorbereidingshaak. Opmerkingen: Site toont publieke bestuurs-, PR-, redactie- en activiteitenadressen.",transalp-club-nederland
V-Strom Forum Nederland,https://forum.v-strom.nl,Motorclub,Landelijk,,registreren@v-strom.nl,B,Koud,6,new,"Waarom interessant: V-Strom-rijders zijn toer- en adventuregericht en hebben behoefte aan onderhouds- en reisoverzicht. Benaderstrategie: Benader beheerders met een forum-post of partnerthread rond digitaal onderhoudsboek. Opmerkingen: Forumsite toont registratiecontact; communitykanaal vraagt voorzichtige benadering.",v-strom-forum-nederland
