name,website,category,region,contact_name,email,priority,warmth,score,status,notes,partner_slug
Motor Toer Club Oudenbosch,https://www.motorclubmtco.nl/,Motorclub,Noord-Brabant,,mtco1985@outlook.com,B,Lauw,7,ready,"campaign_slug=club2026; subcategory=toerclub; email_status=found; email_type=general; source_url=https://www.motorclubmtco.nl/Doen.html; confidence=high; why_interesting=Actieve regionale toerclub met eigen programma; approach_strategy=Benadruk digitaal onderhoudsboek voor leden en clubritten; newsletter_status=onbekend; estimated_reach=; official organization mailbox on privacy/contact information.",mtc-oudenbosch
Motorclub Arnhem,https://www.motorclubarnhem.nl/,Motorclub,Gelderland,,info@motorclubarnhem.nl,B,Lauw,7,ready,"campaign_slug=club2026; subcategory=motorsportvereniging; email_status=found; email_type=general; source_url=https://www.motorclubarnhem.nl/info; confidence=high; why_interesting=Gevestigde vereniging met actieve motorsportcommunity; approach_strategy=Positioneer GarageBook als praktisch ledenvoordeel; newsletter_status=onbekend; estimated_reach=.",motorclub-arnhem
Motor Club Ruurlo,https://mcruurlo.nl/,Motorclub,Gelderland,,info@mcruurlo.nl,A,Warm,8,ready,"campaign_slug=club2026; subcategory=toerclub; email_status=found; email_type=general; source_url=https://mcruurlo.nl/index.php/toer/nieuwsbrief-toer/; confidence=high; why_interesting=Actieve toerafdeling en publieke nieuwsbrief; approach_strategy=Koppel aanbod aan toeragenda en nieuwsbrief; newsletter_status=ja; estimated_reach=.",motor-club-ruurlo
MC HAMAC Harfsen,https://hamac.nl/,Motorclub,Gelderland,,toer@hamac.nl,A,Warm,8,ready,"campaign_slug=club2026; subcategory=toer-en-motorsportclub; email_status=found; email_type=general; source_url=https://hamac.nl/toer/; confidence=high; why_interesting=Actieve toerafdeling binnen brede motorvereniging; approach_strategy=Benader toercommissie met concreet ledenvoordeel; newsletter_status=onbekend; estimated_reach=.",mc-hamac-harfsen
MTC Bergeijk,https://mtcbergeijk.jouwweb.nl/,Motorclub,Noord-Brabant,,mtcbergeijk@chello.nl,B,Lauw,7,ready,"campaign_slug=club2026; subcategory=toerclub; email_status=found; email_type=general; source_url=https://mtcbergeijk.jouwweb.nl/contact; confidence=high; why_interesting=Actieve regionale toerclub met agenda 2026; approach_strategy=Korte clubgerichte introductie voor toerleden; newsletter_status=onbekend; estimated_reach=.",mtc-bergeijk
MC Roadrunner Prinsenbeek,https://www.mcroadrunner.nl/,Motorclub,Noord-Brabant,,info@mcroadrunner.nl,A,Warm,8,ready,"campaign_slug=club2026; subcategory=toerclub; email_status=found; email_type=general; source_url=https://www.uc.mcroadrunner.nl/wp/; confidence=high; why_interesting=Lang bestaande toerclub met meer dan vijftig leden en actuele ritten; approach_strategy=Benadruk collectief ledenvoordeel en onderhoudshistorie; newsletter_status=onbekend; estimated_reach=50+ leden.",mc-roadrunner-prinsenbeek
Motorclub Schoonebeek,https://www.motorclubschoonebeek.nl/,Motorclub,Drenthe,,info@motorclubschoonebeek.nl,A,Warm,8,ready,"campaign_slug=club2026; subcategory=toerclub; email_status=found; email_type=general; source_url=https://www.motorclubschoonebeek.nl/contact/; confidence=high; why_interesting=Actieve toerclub met actuele 2026-agenda en meerdaags evenement; approach_strategy=Haak aan op actieve rittenkalender en ledengebruik; newsletter_status=onbekend; estimated_reach=.",motorclub-schoonebeek
Motorclub Zeeuws-Vlaanderen,https://www.mczv.nl/,Motorclub,Zeeland,,secretaris@mczv.nl,A,Warm,8,ready,"campaign_slug=club2026; subcategory=toerclub; email_status=found; email_type=secretary; source_url=https://www.mczv.nl/about/; confidence=high; why_interesting=Actieve vereniging met clubritten nieuwsbrief en ledenwerving; approach_strategy=Benader secretariaat met ledenactie en partnerlink; newsletter_status=ja; estimated_reach=.",motorclub-zeeuws-vlaanderen
MC Flardinga,https://www.mcflardinga.nl/mcfwordpress/,Motorclub,Zuid-Holland,,info@mcflardinga.nl,A,Warm,8,ready,"campaign_slug=club2026; subcategory=toerclub; email_status=found; email_type=general; source_url=https://www.mcflardinga.nl/mcfwordpress/mc-flardinga-informatie/; confidence=high; why_interesting=Lang bestaande actieve toerclub met frequente ritten; approach_strategy=Benadruk digitaal onderhoudsboek als praktisch clubvoordeel; newsletter_status=onbekend; estimated_reach=.",mc-flardinga
Motortourclub Dieren e.o.,https://www.motortourclubdieren.nl/,Motorclub,Gelderland,,secretaris@motortourclubdieren.nl,A,Warm,8,ready,"campaign_slug=club2026; subcategory=toerclub; email_status=found; email_type=secretary; source_url=https://www.motortourclubdieren.nl/mtc-dieren/bestuur; confidence=high; why_interesting=Actieve regionale motortourvereniging met clubcommunicatie; approach_strategy=Persoonlijke benadering via secretariaat met ledenvoordeel; newsletter_status=onbekend; estimated_reach=.",motortourclub-dieren
RÔL-ON Motortoerclub,https://www.rol-on.nl/,Motorclub,Drenthe,,info@rol-on.nl,A,Warm,8,ready,"campaign_slug=club2026; subcategory=toerclub; email_status=found; email_type=general; source_url=https://www.rol-on.nl/nl_NL/bestuurders.html; confidence=high; why_interesting=Actieve vereniging voor toerrijders in Noord-Nederland; approach_strategy=Benader bestuur met laagdrempelige clubactie; newsletter_status=onbekend; estimated_reach=.",rol-on-motortoerclub
MC-ASOM Zevenaar,https://www.mc-asom.com/,Motorclub,Gelderland,,info@mc-asom.com,B,Lauw,7,ready,"campaign_slug=club2026; subcategory=toerclub; email_status=found; email_type=general; source_url=https://www.mc-asom.com/evenementen/overzicht-ritten-en-activiteiten/vette-kleppenrit; confidence=high; why_interesting=Actieve club met openbare ritten in 2026; approach_strategy=Sluit aan op rittenprogramma en onderhoudsplanning; newsletter_status=onbekend; estimated_reach=.",mc-asom-zevenaar
Motorclub De Antrappers,https://antrappers.nl/,Motorclub,Drenthe,,motorclub@antrappers.nl,A,Warm,8,ready,"campaign_slug=club2026; subcategory=toer-en-offroadclub; email_status=found; email_type=general; source_url=https://antrappers.nl/stichting-storck/; confidence=high; why_interesting=Gevestigde club met toer- en offroadleden; approach_strategy=Presenteer GarageBook als breed inzetbaar voor verschillende motoren; newsletter_status=ja; estimated_reach=.",motorclub-de-antrappers
Club Pan-European Nederland,https://www.club-pan.nl/,Motorclub,Landelijk,,pr.communicatie@club-pan.nl,A,Warm,9,ready,"campaign_slug=club2026; subcategory=merk-en-modelclub; email_status=found; email_type=communications; source_url=https://www.club-pan.nl/commissies/643/; confidence=high; why_interesting=Landelijke modelclub met digitale nieuwsbrief en clubmagazine; approach_strategy=Benader PR en Communicatie voor nieuwsbriefplaatsing; newsletter_status=ja; estimated_reach=.",club-pan-european-nederland
